l;s;A;B1;B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6
1;1;-1.1036729;2.6431984;0.0060432255;-1.5158773;0.54237938;-0.90468682;0.61742007;1.6690746;-6.9145890;1.5502132;-2.0642189;1.5402077;-0.49729535
1;2;1.3555554;-0.44668594;0.42734391;-1.6036459;0.31461648;-0.32587575;0.13860257;-0.47499422;1.4482036;-0.32158368;0.44357933;-0.34138118;0.11259742
1;3;1.0677115;-0.13945390;0.17696362;-0.26252211;-0.043814141;0.16752100;-0.14382801;-0.25258689;0.59709197;-0.13332695;0.19619285;-0.16063076;0.055804557
1;4;0.80959899;0.12938170;0.059760309;0.071109469;-0.063851124;0.10498938;-0.058149257;-0.045055948;-0.22642753;0.056672308;-0.065708760;0.040733113;-0.010820157
1;5;0.74128322;0.17788850;0.027398438;0.076254248;-0.031650182;0.032786518;-0.0092890016;0.0013668724;-0.41730962;0.10378923;-0.13492954;0.096963599;-0.030307552
1;6;0.80998324;0.073071217;0.034607908;-0.011457199;0.0028198596;-0.020060540;0.021446483;-0.071180849;-0.12738119;0.038582834;-0.047060425;0.030466929;-0.0085305576
1;7;0.81808091;0.044232851;0.029750283;-0.022011682;0.0063264120;-0.017555530;0.014255704;-0.089417548;-0.051856424;0.021882143;-0.024874471;0.013745859;-0.0030285365
2;2;-0.92032979;2.3508044;0.50110649;-4.7193769;1.5806367;-2.6367184;1.8120118;1.6330213;-6.9795156;1.6096572;-2.2109440;1.7031434;-0.56699986
2;3;2.5955799;-1.8569443;0.96985775;-3.9888526;0.90063692;-1.0918991;0.56646797;-1.4586197;5.2947262;-1.1946363;1.6264589;-1.2354315;0.40366357
2;4;1.6042745;-0.67406115;0.42671907;-1.0177069;0.0061857136;0.31225358;-0.35206051;-0.62774499;2.0700644;-0.47601690;0.67153792;-0.52706167;0.17705708
2;5;0.82064641;0.23195128;0.12233793;0.13891578;-0.20903423;0.46715462;-0.35204303;0.039184885;-0.57316906;0.12794497;-0.15336449;0.10241454;-0.029975563
2;6;0.79413652;0.23766123;0.077125802;0.13060901;-0.10982362;0.18034505;-0.095982571;0.050470266;-0.62621672;0.14326724;-0.17806541;0.12353365;-0.037501381
3;3;1.2630491;-0.36104243;0.68116214;-3.6401583;1.0500196;-1.6400134;1.0880886;-0.33227158;0.79723851;-0.15470355;0.18686705;-0.12179945;0.032594587
3;4;2.2114636;-1.4743107;0.64918549;-2.4075196;0.51820149;-0.60565396;0.29812326;-1.1942554;4.3000688;-0.97525871;1.3399366;-1.0283777;0.33956674
3;5;1.5049809;-0.64335529;0.3261704;-0.82126072;0.059682011;0.10269488;-0.15957252;-0.60014514;1.9764859;-0.45212434;0.63650284;-0.49991689;0.16833944
4;4;2.6222393;-1.9158462;1.0166380;-4.3355278;1.0496591;-1.3951104;0.80048534;-1.4676253;5.3048161;-1.1909781;1.6123847;-1.2174905;0.39545100
