#;;CAS Registry number;point group;relative molecular mass;critical temperature;critical density;critical pressure;dipole moment;polarizability;ionisation energy;sigma;eps/k;Source of Lennard-Jones Parameters
# DOI;;;10.1351/goldbook.P04703;10.1351/goldbook.R05271;10.1351/goldbook.C01402;;10.1351/goldbook.C01397;10.1351/goldbook.E01929;;10.1351/goldbook.I03199;;;
# UCUM unit;;;;;K;mol/l;;D;Ao3;eV;;;
formula;name;CAS;group;M;Tc;rhoc;pc;dipole_moment;polarizability;IE;sigma;epsk;DOI
He;helium;7440-59-7;O(3);4.0026;5.20;17.4000;2.2470;0.000;0.2080;24.587;2.5510;10.22;
Ar;argon;7440-37-1;O(3);39.9480;150.86;13.4100;48.9800;0.000;1.6640;15.759;3.4062;120.38;10.1016/j.jcp.2014.05.018
Kr;krypton;7439-90-9;O(3);83.7980;209.46;11.0000;55.2019;0.000;2.4980;14.000;3.6202;171.64;10.1016/j.jcp.2014.05.018
Ne;neon;79-24-3;O(3);20.1800;;;;0.000;0.3810;10.900;2.7820;35.75;10.1016/j.jcp.2014.05.018
Cl2;chlorine;7782-50-5;Dooh;70.9060;416.96;8.1344;79.9140;0.000;4.6100;11.481;3.2919;829.51;
HCl;hydrogen chloride;7647-01-0;Coov ;36.4610;324.68;;82.5600;1.080;2.5150;12.744;3.0501;480.08;
H2O;water;7732-18-5;C2v;18.0153;647.00;;;1.855;1.5010;12.621;3.2842;152.21;
NH3;ammonia;7664-41-7;C3v;17.0305;405.40;17.9000;220.6400;1.470;2.1030;10.070;2.9356;467.58;
N2;nitrogen;7727-37-9;Dooh;28.0134;126.20;11.1800;33.9700;0.000;1.7100;15.581;3.5961;104.35;
O2;oxygen;7782-44-7;Dooh;31.9988;154.58;13.6;50.43;0.000;1.5620;12.070;3.4770;96.92;
N2O;nitrous oxide;10024-97-2;Coov  ;44.0128;309.56;10.3000;72.3800;0.167;2.9980;12.889;3.2396;444.81;
CH4;methane;74-82-8;Td;16.0425;190.60;10.1;46.1;0.000;2.4480;12.61;3.7580;148.60;
C2H4;ethene;74-85-1;D2h;28.0532;282.50;7.63;50.6;0.000;4.1880;10.51;4.1630;224.70;
CH2CHCH3;propene;115-07-1;Cs;42.0797;;;;0.363;5.9900;9.73;4.6780;298.90;
C3H6;cyclopropane;75-19-4;D3h;42.0797;;;;0.000;5.6400;9.86;4.8070;248.90;
CH2CHCH2CH3;1-butene;106-98-9;C1;56.1063;;;;0.359;7.8300;9.55;;;
CH3CHCHCH3;cis-2-butene;590-18-1;C2v;56.1063;;;;0.257;;9.11;;;
CH3CHCHCH3;trans-2-butene;624-64-6;C2h;56.1063;;;;0.000;7.8800;9.1;;;
CH2C(CH3)CH3;iso-butene;115-11-7;C2v;56.1063;;;;0.503;7.8800;9.22;;;
C2H6;ethane;74-84-0;D3d;30.0690;305.30;6.9;49;0.000;4.2260;11.52;4.4430;215.70;
C3H6;propane;74-98-6;C2v;44.0956;369.90;5.1;42.5;0.084;5.9210;11.51;5.1180;237.10;
C4H10;n-butane;106-97-8;C2h;58.1222;425.00;3.92;38;0.000;8.0200;10.53;4.6870;531.40;
CH3CH(CH3)CH3;iso-butane;75-28-5;C3v;58.1222;407.70;3.85;36.5;0.132;8.0090;10.68;5.2780;330.10;
C5H12;n-pentane;109-66-0;C2v;72.1488;469.80;3.22;33.6;0.000;9.88;10.2800;5.7840;341.10;
C5H12;iso-pentane;78-78-4;C1;72.1488;;;;0.130;8.7700;10.32;;;
C(CH3)4;neopentane;463-82-1;Td;72.1488;;;;0.000;10.2400;10.3;6.4640;193.40;
BF3;boron trifluoride;7637-07-2;D3h;67.8060;;;;0.000;;15.7;4.1980;186.30;
CF4;tetrafluoromethane;75-73-0;Td;88.0043;227.50;7.155;37.45;0.000;2.8240;14.7;;;
SiF4;silicon tetrafluoride;7783-61-1;Td;104.0791;259.00;;37.1457;0.000;3.3190;15.24;4.8800;171.90;
CCl4;carbon tetrachloride;56-23-5;Td;153.8230;;;;0.000;10.0020;11.47;;;
SiCl4;silicon tetrachloride;10026-04-7;Td;169.8980;;;;0.000;;;;;
SF6;sulfur hexafluoride;2551-62-4;Oh;146.0550;568.80;5.0581;24.9;0.000;4.4900;15.32;5.1280;222.10;
MoF6;molybdenum hexafluoride;7783-77-9;Oh;209.9500;;;;0.000;;14.5;;;
WF6;tungsten hexafluoride;7783-82-6;Oh;297.8300;;;;0.000;;;;;
UF6;uranium hexafluoride;7783-81-5;Oh;352.0193;;;;0.000;;;5.9670;236.80;
Si(CH3)4;tetramethylsilane;75-76-3;Td;88.2236;;;;0.000;;9.8;;;
C2F6;hexafluoroethane;76-16-4;D3d;138.0118;;;;0.000;4.6680;13.6;;;
C3F8;octafluoropropane;76-19-7;C2v;188.0193;;;;0.000;6.5250;13.38;;;
C4F10;n-decafluorobutane;355-25-9;C2h;238.0268;;;;;;;;;
C5F12;n-dodecafluoropentane;678-26-2;;288.0343;;;;;;;;;
C6F14;n-tetadecafluorohexane;355-42-0;;338.0418;;;;;;;;;
CH3F;fluoromethane;593-53-3;C3v;34.0329;;;;1.847;;;;;
CH2F2;difluoromethane;75-10-5;C2v;52.0234;;;;1.970;;;;;
CHF3;trifluoromethane;75-46-7;C3v;70.0138;;;;1.645;;;;;
